0. predicted: cord, actual: cord
772. predicted: cord, actual: formation
773. predicted: formation, actual: formation
774. predicted: cord, actual: formation
775. predicted: cord, actual: formation
776. predicted: cord, actual: formation
777. predicted: formation, actual: formation
778. predicted: formation, actual: formation
779. predicted: cord, actual: formation
780. predicted: cord, actual: formation
781. predicted: formation, actual: formation
782. predicted: cord, actual: formation
783. predicted: formation, actual: formation
784. predicted: cord, actual: formation
785. predicted: cord, actual: formation
786. predicted: cord, actual: formation
787. predicted: text, actual: formation
788. predicted: formation, actual: formation
789. predicted: cord, actual: formation
790. predicted: cord, actual: formation
791. predicted: formation, actual: formation
792. predicted: cord, actual: formation
793. predicted: cord, actual: formation
794. predicted: text, actual: formation
795. predicted: cord, actual: formation
796. predicted: text, actual: formation
797. predicted: formation, actual: formation
798. predicted: formation, actual: formation
799. predicted: formation, actual: formation
800. predicted: formation, actual: formation
0.36953807740324596
801. predicted: formation, actual: formation
802. predicted: text, actual: formation
803. predicted: cord, actual: formation
804. predicted: cord, actual: formation
805. predicted: text, actual: formation
806. predicted: cord, actual: formation
807. predicted: cord, actual: formation
808. predicted: cord, actual: formation
809. predicted: cord, actual: formation
810. predicted: formation, actual: formation
811. predicted: division, actual: formation
812. predicted: text, actual: formation
813. predicted: cord, actual: formation
814. predicted: cord, actual: formation
815. predicted: cord, actual: formation
816. predicted: cord, actual: formation
817. predicted: formation, actual: formation
818. predicted: formation, actual: formation
819. predicted: cord, actual: formation
820. predicted: formation, actual: formation
821. predicted: formation, actual: formation
822. predicted: formation, actual: formation
823. predicted: cord, actual: formation
824. predicted: formation, actual: formation
825. predicted: cord, actual: formation
826. predicted: formation, actual: formation
827. predicted: formation, actual: formation
828. predicted: cord, actual: formation
829. predicted: cord, actual: formation
830. predicted: cord, actual: formation
831. predicted: formation, actual: formation
832. predicted: cord, actual: formation
833. predicted: formation, actual: formation
834. predicted: formation, actual: formation
835. predicted: cord, actual: formation
836. predicted: cord, actual: formation
837. predicted: cord, actual: formation
838. predicted: cord, actual: formation
839. predicted: formation, actual: formation
840. predicted: text, actual: formation
841. predicted: cord, actual: formation
842. predicted: formation, actual: formation
843. predicted: formation, actual: formation
844. predicted: formation, actual: formation
845. predicted: formation, actual: formation
846. predicted: cord, actual: formation
847. predicted: formation, actual: formation
848. predicted: formation, actual: formation
849. predicted: cord, actual: formation
850. predicted: formation, actual: formation
851. predicted: formation, actual: formation
852. predicted: cord, actual: formation
853. predicted: formation, actual: formation
854. predicted: cord, actual: formation
855. predicted: formation, actual: formation
856. predicted: cord, actual: formation
857. predicted: cord, actual: formation
858. predicted: cord, actual: formation
859. predicted: cord, actual: formation
860. predicted: formation, actual: formation
861. predicted: formation, actual: formation
862. predicted: cord, actual: formation
863. predicted: cord, actual: formation
864. predicted: formation, actual: formation
865. predicted: formation, actual: formation
866. predicted: formation, actual: formation
867. predicted: formation, actual: formation
868. predicted: formation, actual: formation
869. predicted: cord, actual: formation
870. predicted: formation, actual: formation
871. predicted: formation, actual: formation
872. predicted: cord, actual: formation
873. predicted: cord, actual: formation
874. predicted: text, actual: formation
875. predicted: formation, actual: formation
876. predicted: cord, actual: formation
877. predicted: formation, actual: formation
878. predicted: formation, actual: formation
879. predicted: formation, actual: formation
880. predicted: formation, actual: formation
881. predicted: formation, actual: formation
882. predicted: formation, actual: formation
883. predicted: cord, actual: formation
884. predicted: text, actual: formation
885. predicted: text, actual: formation
886. predicted: cord, actual: formation
887. predicted: cord, actual: formation
888. predicted: cord, actual: formation
889. predicted: text, actual: formation
890. predicted: cord, actual: formation
891. predicted: text, actual: formation
892. predicted: formation, actual: formation
893. predicted: formation, actual: formation
894. predicted: formation, actual: formation
895. predicted: cord, actual: formation
896. predicted: formation, actual: formation
897. predicted: formation, actual: formation
898. predicted: formation, actual: formation
899. predicted: cord, actual: formation
900. predicted: formation, actual: formation
0.3806881243063263
901. predicted: cord, actual: formation
902. predicted: formation, actual: formation
903. predicted: cord, actual: formation
904. predicted: formation, actual: formation
905. predicted: cord, actual: formation
906. predicted: cord, actual: formation
907. predicted: formation, actual: formation
908. predicted: cord, actual: formation
909. predicted: cord, actual: formation
910. predicted: formation, actual: formation
911. predicted: cord, actual: formation
912. predicted: formation, actual: formation
913. predicted: cord, actual: formation
914. predicted: formation, actual: formation
915. predicted: formation, actual: formation
916. predicted: cord, actual: formation
917. predicted: cord, actual: formation
918. predicted: cord, actual: formation
919. predicted: cord, actual: formation
920. predicted: cord, actual: formation
921. predicted: cord, actual: formation
922. predicted: formation, actual: formation
923. predicted: formation, actual: formation
924. predicted: cord, actual: formation
925. predicted: formation, actual: formation
926. predicted: cord, actual: formation
927. predicted: cord, actual: formation
928. predicted: text, actual: formation
929. predicted: formation, actual: formation
930. predicted: cord, actual: formation
931. predicted: text, actual: formation
932. predicted: text, actual: formation
933. predicted: cord, actual: formation
934. predicted: text, actual: formation
935. predicted: formation, actual: formation
936. predicted: text, actual: formation
937. predicted: cord, actual: formation
938. predicted: cord, actual: formation
939. predicted: cord, actual: formation
940. predicted: text, actual: formation
941. predicted: cord, actual: formation
942. predicted: cord, actual: formation
943. predicted: formation, actual: formation
944. predicted: cord, actual: formation
945. predicted: formation, actual: formation
946. predicted: cord, actual: formation
947. predicted: formation, actual: formation
948. predicted: cord, actual: formation
949. predicted: formation, actual: formation
950. predicted: formation, actual: formation
951. predicted: cord, actual: formation
952. predicted: formation, actual: formation
953. predicted: formation, actual: formation
954. predicted: formation, actual: formation
955. predicted: text, actual: formation
956. predicted: text, actual: formation
957. predicted: cord, actual: formation
958. predicted: cord, actual: formation
