0. predicted: SERVE10, actual: SERVE10
93. predicted: SERVE10, actual: SERVE10
94. predicted: SERVE12, actual: SERVE10
95. predicted: SERVE12, actual: SERVE10
96. predicted: SERVE12, actual: SERVE10
97. predicted: SERVE10, actual: SERVE10
98. predicted: SERVE10, actual: SERVE10
99. predicted: SERVE10, actual: SERVE10
100. predicted: SERVE12, actual: SERVE10
0.5148514851485149
101. predicted: SERVE10, actual: SERVE10
102. predicted: SERVE12, actual: SERVE10
103. predicted: SERVE10, actual: SERVE10
104. predicted: SERVE12, actual: SERVE10
105. predicted: SERVE12, actual: SERVE10
106. predicted: SERVE12, actual: SERVE10
107. predicted: SERVE12, actual: SERVE10
108. predicted: SERVE10, actual: SERVE10
109. predicted: SERVE10, actual: SERVE10
110. predicted: SERVE10, actual: SERVE10
111. predicted: SERVE12, actual: SERVE10
112. predicted: SERVE12, actual: SERVE10
113. predicted: SERVE10, actual: SERVE10
114. predicted: SERVE10, actual: SERVE10
115. predicted: SERVE10, actual: SERVE10
116. predicted: SERVE12, actual: SERVE10
117. predicted: SERVE10, actual: SERVE10
118. predicted: SERVE12, actual: SERVE10
119. predicted: SERVE10, actual: SERVE10
120. predicted: SERVE10, actual: SERVE10
121. predicted: SERVE12, actual: SERVE10
122. predicted: SERVE12, actual: SERVE10
123. predicted: SERVE12, actual: SERVE10
124. predicted: SERVE12, actual: SERVE10
125. predicted: SERVE10, actual: SERVE10
126. predicted: SERVE10, actual: SERVE10
127. predicted: SERVE12, actual: SERVE10
128. predicted: SERVE12, actual: SERVE10
129. predicted: SERVE12, actual: SERVE10
130. predicted: SERVE10, actual: SERVE10
131. predicted: SERVE10, actual: SERVE10
132. predicted: SERVE10, actual: SERVE10
133. predicted: SERVE12, actual: SERVE10
134. predicted: SERVE12, actual: SERVE10
135. predicted: SERVE10, actual: SERVE10
136. predicted: SERVE10, actual: SERVE10
137. predicted: SERVE10, actual: SERVE10
138. predicted: SERVE10, actual: SERVE10
139. predicted: SERVE10, actual: SERVE10
140. predicted: SERVE10, actual: SERVE10
141. predicted: SERVE12, actual: SERVE10
142. predicted: SERVE12, actual: SERVE10
143. predicted: SERVE12, actual: SERVE10
144. predicted: SERVE10, actual: SERVE10
145. predicted: SERVE12, actual: SERVE10
146. predicted: SERVE12, actual: SERVE10
147. predicted: SERVE12, actual: SERVE10
148. predicted: SERVE12, actual: SERVE10
149. predicted: SERVE12, actual: SERVE10
150. predicted: SERVE12, actual: SERVE10
151. predicted: SERVE12, actual: SERVE10
152. predicted: SERVE10, actual: SERVE10
153. predicted: SERVE10, actual: SERVE10
154. predicted: SERVE12, actual: SERVE10
155. predicted: SERVE12, actual: SERVE10
156. predicted: SERVE12, actual: SERVE10
157. predicted: SERVE10, actual: SERVE10
158. predicted: SERVE10, actual: SERVE10
159. predicted: SERVE10, actual: SERVE10
160. predicted: SERVE12, actual: SERVE10
161. predicted: SERVE12, actual: SERVE10
162. predicted: SERVE12, actual: SERVE10
163. predicted: SERVE12, actual: SERVE10
164. predicted: SERVE10, actual: SERVE10
165. predicted: SERVE10, actual: SERVE10
166. predicted: SERVE10, actual: SERVE10
167. predicted: SERVE10, actual: SERVE10
168. predicted: SERVE10, actual: SERVE10
169. predicted: SERVE10, actual: SERVE10
170. predicted: SERVE12, actual: SERVE10
171. predicted: SERVE12, actual: SERVE10
172. predicted: SERVE10, actual: SERVE10
173. predicted: SERVE10, actual: SERVE10
174. predicted: SERVE12, actual: SERVE10
175. predicted: SERVE12, actual: SERVE10
176. predicted: SERVE12, actual: SERVE10
177. predicted: SERVE10, actual: SERVE10
178. predicted: SERVE10, actual: SERVE10
179. predicted: SERVE12, actual: SERVE10
180. predicted: SERVE10, actual: SERVE10
181. predicted: SERVE10, actual: SERVE10
182. predicted: SERVE10, actual: SERVE10
183. predicted: SERVE12, actual: SERVE10
184. predicted: SERVE10, actual: SERVE10
185. predicted: SERVE12, actual: SERVE10
186. predicted: SERVE12, actual: SERVE10
187. predicted: SERVE12, actual: SERVE10
188. predicted: SERVE12, actual: SERVE10
189. predicted: SERVE10, actual: SERVE10
190. predicted: SERVE12, actual: SERVE10
191. predicted: SERVE10, actual: SERVE10
192. predicted: SERVE12, actual: SERVE10
193. predicted: SERVE10, actual: SERVE10
194. predicted: SERVE10, actual: SERVE10
195. predicted: SERVE12, actual: SERVE10
196. predicted: SERVE12, actual: SERVE10
197. predicted: SERVE10, actual: SERVE10
198. predicted: SERVE12, actual: SERVE10
199. predicted: SERVE12, actual: SERVE10
200. predicted: SERVE12, actual: SERVE10
0.4925373134328358
201. predicted: SERVE12, actual: SERVE10
202. predicted: SERVE12, actual: SERVE10
203. predicted: SERVE10, actual: SERVE10
204. predicted: SERVE10, actual: SERVE10
205. predicted: SERVE12, actual: SERVE10
206. predicted: SERVE10, actual: SERVE10
207. predicted: SERVE12, actual: SERVE10
208. predicted: SERVE10, actual: SERVE10
209. predicted: SERVE12, actual: SERVE10
210. predicted: SERVE10, actual: SERVE10
211. predicted: SERVE10, actual: SERVE10
212. predicted: SERVE12, actual: SERVE10
213. predicted: SERVE12, actual: SERVE10
214. predicted: SERVE10, actual: SERVE10
215. predicted: SERVE12, actual: SERVE10
216. predicted: SERVE12, actual: SERVE10
217. predicted: SERVE10, actual: SERVE10
218. predicted: SERVE12, actual: SERVE10
219. predicted: SERVE12, actual: SERVE10
220. predicted: SERVE10, actual: SERVE10
221. predicted: SERVE12, actual: SERVE10
222. predicted: SERVE10, actual: SERVE10
223. predicted: SERVE12, actual: SERVE10
224. predicted: SERVE10, actual: SERVE10
225. predicted: SERVE12, actual: SERVE10
226. predicted: SERVE10, actual: SERVE10
227. predicted: SERVE10, actual: SERVE10
228. predicted: SERVE10, actual: SERVE10
229. predicted: SERVE12, actual: SERVE10
230. predicted: SERVE12, actual: SERVE10
231. predicted: SERVE12, actual: SERVE10
232. predicted: SERVE12, actual: SERVE10
233. predicted: SERVE12, actual: SERVE10
234. predicted: SERVE12, actual: SERVE10
235. predicted: SERVE10, actual: SERVE10
236. predicted: SERVE10, actual: SERVE10
237. predicted: SERVE12, actual: SERVE10
238. predicted: SERVE12, actual: SERVE10
239. predicted: SERVE12, actual: SERVE10
240. predicted: SERVE10, actual: SERVE10
241. predicted: SERVE12, actual: SERVE10
242. predicted: SERVE10, actual: SERVE10
243. predicted: SERVE12, actual: SERVE10
244. predicted: SERVE10, actual: SERVE10
245. predicted: SERVE10, actual: SERVE10
246. predicted: SERVE12, actual: SERVE10
247. predicted: SERVE12, actual: SERVE10
248. predicted: SERVE12, actual: SERVE10
249. predicted: SERVE12, actual: SERVE10
250. predicted: SERVE12, actual: SERVE10
251. predicted: SERVE12, actual: SERVE10
252. predicted: SERVE10, actual: SERVE10
253. predicted: SERVE12, actual: SERVE10
254. predicted: SERVE10, actual: SERVE10
255. predicted: SERVE12, actual: SERVE10
256. predicted: SERVE12, actual: SERVE10
257. predicted: SERVE12, actual: SERVE10
258. predicted: SERVE12, actual: SERVE10
259. predicted: SERVE10, actual: SERVE10
260. predicted: SERVE10, actual: SERVE10
261. predicted: SERVE10, actual: SERVE10
262. predicted: SERVE12, actual: SERVE10
263. predicted: SERVE12, actual: SERVE10
264. predicted: SERVE12, actual: SERVE10
265. predicted: SERVE12, actual: SERVE10
266. predicted: SERVE12, actual: SERVE10
267. predicted: SERVE12, actual: SERVE10
268. predicted: SERVE12, actual: SERVE10
269. predicted: SERVE12, actual: SERVE10
270. predicted: SERVE12, actual: SERVE10
271. predicted: SERVE10, actual: SERVE10
272. predicted: SERVE10, actual: SERVE10
273. predicted: SERVE12, actual: SERVE10
274. predicted: SERVE12, actual: SERVE10
275. predicted: SERVE10, actual: SERVE10
276. predicted: SERVE12, actual: SERVE10
277. predicted: SERVE12, actual: SERVE10
278. predicted: SERVE10, actual: SERVE10
279. predicted: SERVE10, actual: SERVE10
280. predicted: SERVE12, actual: SERVE10
281. predicted: SERVE12, actual: SERVE10
282. predicted: SERVE12, actual: SERVE10
283. predicted: SERVE12, actual: SERVE10
284. predicted: SERVE12, actual: SERVE10
285. predicted: SERVE12, actual: SERVE10
286. predicted: SERVE12, actual: SERVE10
287. predicted: SERVE10, actual: SERVE10
288. predicted: SERVE10, actual: SERVE10
289. predicted: SERVE12, actual: SERVE10
290. predicted: SERVE12, actual: SERVE10
291. predicted: SERVE12, actual: SERVE10
292. predicted: SERVE10, actual: SERVE10
293. predicted: SERVE10, actual: SERVE10
294. predicted: SERVE12, actual: SERVE10
295. predicted: SERVE12, actual: SERVE10
296. predicted: SERVE12, actual: SERVE10
297. predicted: SERVE10, actual: SERVE10
298. predicted: SERVE12, actual: SERVE10
299. predicted: SERVE12, actual: SERVE10
300. predicted: SERVE10, actual: SERVE10
0.4485049833887043
301. predicted: SERVE12, actual: SERVE10
302. predicted: SERVE12, actual: SERVE10
303. predicted: SERVE10, actual: SERVE10
304. predicted: SERVE10, actual: SERVE10
305. predicted: SERVE12, actual: SERVE10
306. predicted: SERVE12, actual: SERVE10
307. predicted: SERVE12, actual: SERVE10
308. predicted: SERVE12, actual: SERVE10
309. predicted: SERVE12, actual: SERVE10
310. predicted: SERVE12, actual: SERVE10
311. predicted: SERVE12, actual: SERVE10
312. predicted: SERVE10, actual: SERVE10
313. predicted: SERVE12, actual: SERVE10
314. predicted: SERVE10, actual: SERVE10
315. predicted: SERVE10, actual: SERVE10
316. predicted: SERVE10, actual: SERVE10
317. predicted: SERVE10, actual: SERVE10
318. predicted: SERVE12, actual: SERVE10
319. predicted: SERVE12, actual: SERVE10
320. predicted: SERVE10, actual: SERVE10
321. predicted: SERVE10, actual: SERVE10
322. predicted: SERVE12, actual: SERVE10
323. predicted: SERVE10, actual: SERVE10
324. predicted: SERVE12, actual: SERVE10
325. predicted: SERVE10, actual: SERVE10
326. predicted: SERVE12, actual: SERVE10
327. predicted: SERVE12, actual: SERVE10
328. predicted: SERVE12, actual: SERVE10
329. predicted: SERVE10, actual: SERVE10
330. predicted: SERVE10, actual: SERVE10
331. predicted: SERVE12, actual: SERVE10
332. predicted: SERVE10, actual: SERVE10
333. predicted: SERVE12, actual: SERVE10
334. predicted: SERVE12, actual: SERVE10
335. predicted: SERVE10, actual: SERVE10
336. predicted: SERVE12, actual: SERVE10
337. predicted: SERVE10, actual: SERVE10
338. predicted: SERVE12, actual: SERVE10
339. predicted: SERVE12, actual: SERVE10
340. predicted: SERVE12, actual: SERVE10
341. predicted: SERVE12, actual: SERVE10
342. predicted: SERVE12, actual: SERVE10
343. predicted: SERVE12, actual: SERVE10
344. predicted: SERVE10, actual: SERVE10
345. predicted: SERVE12, actual: SERVE10
346. predicted: SERVE12, actual: SERVE10
347. predicted: SERVE10, actual: SERVE10
348. predicted: SERVE12, actual: SERVE10
349. predicted: SERVE10, actual: SERVE10
350. predicted: SERVE12, actual: SERVE10
351. predicted: SERVE10, actual: SERVE10
352. predicted: SERVE10, actual: SERVE10
353. predicted: SERVE12, actual: SERVE10
354. predicted: SERVE12, actual: SERVE10
355. predicted: SERVE12, actual: SERVE10
356. predicted: SERVE12, actual: SERVE10
357. predicted: SERVE10, actual: SERVE10
358. predicted: SERVE12, actual: SERVE10
359. predicted: SERVE12, actual: SERVE10
360. predicted: SERVE12, actual: SERVE10
361. predicted: SERVE10, actual: SERVE10
362. predicted: SERVE10, actual: SERVE10
363. predicted: SERVE12, actual: SERVE10
364. predicted: SERVE12, actual: SERVE10
365. predicted: SERVE10, actual: SERVE10
366. predicted: SERVE10, actual: SERVE10
367. predicted: SERVE10, actual: SERVE10
368. predicted: SERVE12, actual: SERVE10
369. predicted: SERVE12, actual: SERVE10
370. predicted: SERVE12, actual: SERVE10
371. predicted: SERVE12, actual: SERVE10
372. predicted: SERVE10, actual: SERVE10
373. predicted: SERVE12, actual: SERVE10
374. predicted: SERVE12, actual: SERVE10
375. predicted: SERVE12, actual: SERVE10
376. predicted: SERVE10, actual: SERVE10
377. predicted: SERVE10, actual: SERVE10
378. predicted: SERVE12, actual: SERVE10
379. predicted: SERVE12, actual: SERVE10
380. predicted: SERVE10, actual: SERVE10
381. predicted: SERVE12, actual: SERVE10
382. predicted: SERVE12, actual: SERVE10
383. predicted: SERVE12, actual: SERVE10
384. predicted: SERVE12, actual: SERVE10
385. predicted: SERVE12, actual: SERVE10
386. predicted: SERVE12, actual: SERVE10
387. predicted: SERVE12, actual: SERVE10
388. predicted: SERVE12, actual: SERVE10
389. predicted: SERVE12, actual: SERVE10
390. predicted: SERVE10, actual: SERVE10
391. predicted: SERVE12, actual: SERVE10
392. predicted: SERVE12, actual: SERVE10
393. predicted: SERVE10, actual: SERVE10
394. predicted: SERVE12, actual: SERVE10
395. predicted: SERVE10, actual: SERVE10
396. predicted: SERVE10, actual: SERVE10
397. predicted: SERVE12, actual: SERVE10
398. predicted: SERVE10, actual: SERVE10
399. predicted: SERVE10, actual: SERVE10
400. predicted: SERVE12, actual: SERVE10
0.428927680798005
401. predicted: SERVE12, actual: SERVE10
402. predicted: SERVE12, actual: SERVE10
403. predicted: SERVE12, actual: SERVE10
404. predicted: SERVE10, actual: SERVE10
405. predicted: SERVE12, actual: SERVE10
406. predicted: SERVE10, actual: SERVE10
407. predicted: SERVE12, actual: SERVE10
408. predicted: SERVE10, actual: SERVE10
409. predicted: SERVE12, actual: SERVE10
410. predicted: SERVE12, actual: SERVE10
411. predicted: SERVE12, actual: SERVE10
412. predicted: SERVE12, actual: SERVE10
413. predicted: SERVE10, actual: SERVE10
414. predicted: SERVE12, actual: SERVE10
415. predicted: SERVE12, actual: SERVE10
416. predicted: SERVE12, actual: SERVE10
417. predicted: SERVE12, actual: SERVE10
418. predicted: SERVE12, actual: SERVE10
419. predicted: SERVE12, actual: SERVE10
420. predicted: SERVE10, actual: SERVE10
421. predicted: SERVE12, actual: SERVE10
422. predicted: SERVE12, actual: SERVE10
423. predicted: SERVE12, actual: SERVE10
424. predicted: SERVE10, actual: SERVE10
425. predicted: SERVE10, actual: SERVE10
426. predicted: SERVE10, actual: SERVE10
427. predicted: SERVE12, actual: SERVE10
428. predicted: SERVE10, actual: SERVE10
429. predicted: SERVE10, actual: SERVE10
430. predicted: SERVE12, actual: SERVE10
431. predicted: SERVE10, actual: SERVE10
432. predicted: SERVE12, actual: SERVE10
433. predicted: SERVE12, actual: SERVE10
434. predicted: SERVE12, actual: SERVE10
435. predicted: SERVE10, actual: SERVE10
436. predicted: SERVE12, actual: SERVE10
437. predicted: SERVE10, actual: SERVE10
438. predicted: SERVE10, actual: SERVE10
439. predicted: SERVE12, actual: SERVE10
440. predicted: SERVE12, actual: SERVE10
441. predicted: SERVE12, actual: SERVE10
442. predicted: SERVE12, actual: SERVE10
443. predicted: SERVE12, actual: SERVE10
444. predicted: SERVE10, actual: SERVE10
445. predicted: SERVE12, actual: SERVE10
446. predicted: SERVE12, actual: SERVE10
447. predicted: SERVE12, actual: SERVE10
448. predicted: SERVE10, actual: SERVE10
449. predicted: SERVE10, actual: SERVE10
450. predicted: SERVE12, actual: SERVE10
451. predicted: SERVE12, actual: SERVE10
452. predicted: SERVE12, actual: SERVE10
453. predicted: SERVE10, actual: SERVE10
454. predicted: SERVE12, actual: SERVE10
455. predicted: SERVE10, actual: SERVE10
456. predicted: SERVE10, actual: SERVE10
457. predicted: SERVE12, actual: SERVE10
458. predicted: SERVE12, actual: SERVE10
459. predicted: SERVE12, actual: SERVE10
460. predicted: SERVE10, actual: SERVE10
461. predicted: SERVE12, actual: SERVE10
462. predicted: SERVE12, actual: SERVE10
463. predicted: SERVE12, actual: SERVE10
464. predicted: SERVE12, actual: SERVE10
465. predicted: SERVE12, actual: SERVE10
466. predicted: SERVE10, actual: SERVE10
467. predicted: SERVE12, actual: SERVE10
468. predicted: SERVE12, actual: SERVE10
469. predicted: SERVE12, actual: SERVE10
470. predicted: SERVE10, actual: SERVE10
471. predicted: SERVE12, actual: SERVE10
472. predicted: SERVE12, actual: SERVE10
473. predicted: SERVE10, actual: SERVE10
474. predicted: SERVE12, actual: SERVE10
475. predicted: SERVE12, actual: SERVE10
476. predicted: SERVE10, actual: SERVE10
477. predicted: SERVE10, actual: SERVE10
478. predicted: SERVE12, actual: SERVE10
479. predicted: SERVE12, actual: SERVE10
480. predicted: SERVE12, actual: SERVE10
481. predicted: SERVE12, actual: SERVE10
482. predicted: SERVE12, actual: SERVE10
483. predicted: SERVE12, actual: SERVE10
484. predicted: SERVE10, actual: SERVE10
485. predicted: SERVE12, actual: SERVE10
486. predicted: SERVE12, actual: SERVE10
487. predicted: SERVE12, actual: SERVE10
488. predicted: SERVE12, actual: SERVE10
489. predicted: SERVE10, actual: SERVE10
490. predicted: SERVE10, actual: SERVE10
491. predicted: SERVE12, actual: SERVE10
492. predicted: SERVE12, actual: SERVE10
493. predicted: SERVE10, actual: SERVE10
494. predicted: SERVE12, actual: SERVE10
495. predicted: SERVE10, actual: SERVE10
496. predicted: SERVE10, actual: SERVE10
497. predicted: SERVE12, actual: SERVE10
498. predicted: SERVE12, actual: SERVE10
499. predicted: SERVE12, actual: SERVE10
500. predicted: SERVE12, actual: SERVE10
0.40718562874251496
501. predicted: SERVE12, actual: SERVE10
502. predicted: SERVE10, actual: SERVE10
503. predicted: SERVE10, actual: SERVE10
504. predicted: SERVE10, actual: SERVE10
505. predicted: SERVE12, actual: SERVE10
506. predicted: SERVE12, actual: SERVE10
507. predicted: SERVE10, actual: SERVE10
508. predicted: SERVE12, actual: SERVE10
509. predicted: SERVE12, actual: SERVE10
510. predicted: SERVE10, actual: SERVE10
511. predicted: SERVE10, actual: SERVE10
512. predicted: SERVE10, actual: SERVE10
513. predicted: SERVE12, actual: SERVE10
514. predicted: SERVE10, actual: SERVE10
515. predicted: SERVE12, actual: SERVE10
516. predicted: SERVE12, actual: SERVE10
517. predicted: SERVE12, actual: SERVE10
518. predicted: SERVE12, actual: SERVE10
519. predicted: SERVE10, actual: SERVE10
520. predicted: SERVE12, actual: SERVE10
521. predicted: SERVE10, actual: SERVE10
522. predicted: SERVE10, actual: SERVE10
523. predicted: SERVE10, actual: SERVE10
524. predicted: SERVE10, actual: SERVE10
525. predicted: SERVE10, actual: SERVE10
526. predicted: SERVE12, actual: SERVE10
527. predicted: SERVE12, actual: SERVE10
528. predicted: SERVE12, actual: SERVE10
529. predicted: SERVE12, actual: SERVE10
530. predicted: SERVE10, actual: SERVE10
531. predicted: SERVE10, actual: SERVE10
532. predicted: SERVE10, actual: SERVE10
533. predicted: SERVE12, actual: SERVE10
534. predicted: SERVE12, actual: SERVE10
535. predicted: SERVE10, actual: SERVE10
536. predicted: SERVE10, actual: SERVE10
537. predicted: SERVE12, actual: SERVE10
538. predicted: SERVE10, actual: SERVE10
539. predicted: SERVE12, actual: SERVE10
540. predicted: SERVE12, actual: SERVE10
541. predicted: SERVE12, actual: SERVE10
542. predicted: SERVE12, actual: SERVE10
543. predicted: SERVE10, actual: SERVE10
544. predicted: SERVE10, actual: SERVE10
545. predicted: SERVE12, actual: SERVE10
546. predicted: SERVE12, actual: SERVE10
547. predicted: SERVE12, actual: SERVE10
548. predicted: SERVE10, actual: SERVE10
549. predicted: SERVE10, actual: SERVE10
550. predicted: SERVE10, actual: SERVE10
551. predicted: SERVE10, actual: SERVE10
552. predicted: SERVE10, actual: SERVE10
553. predicted: SERVE10, actual: SERVE10
554. predicted: SERVE12, actual: SERVE10
555. predicted: SERVE12, actual: SERVE10
556. predicted: SERVE10, actual: SERVE10
557. predicted: SERVE10, actual: SERVE10
558. predicted: SERVE10, actual: SERVE10
559. predicted: SERVE12, actual: SERVE10
560. predicted: SERVE12, actual: SERVE10
561. predicted: SERVE12, actual: SERVE10
562. predicted: SERVE12, actual: SERVE10
563. predicted: SERVE12, actual: SERVE10
564. predicted: SERVE12, actual: SERVE10
565. predicted: SERVE10, actual: SERVE10
566. predicted: SERVE12, actual: SERVE10
567. predicted: SERVE10, actual: SERVE10
568. predicted: SERVE10, actual: SERVE10
569. predicted: SERVE12, actual: SERVE10
570. predicted: SERVE12, actual: SERVE10
571. predicted: SERVE12, actual: SERVE10
572. predicted: SERVE12, actual: SERVE10
573. predicted: SERVE10, actual: SERVE10
574. predicted: SERVE10, actual: SERVE10
575. predicted: SERVE10, actual: SERVE10
576. predicted: SERVE12, actual: SERVE10
577. predicted: SERVE12, actual: SERVE10
578. predicted: SERVE12, actual: SERVE10
579. predicted: SERVE12, actual: SERVE10
580. predicted: SERVE10, actual: SERVE10
581. predicted: SERVE10, actual: SERVE10
582. predicted: SERVE10, actual: SERVE10
583. predicted: SERVE10, actual: SERVE10
584. predicted: SERVE12, actual: SERVE10
585. predicted: SERVE10, actual: SERVE10
586. predicted: SERVE12, actual: SERVE10
587. predicted: SERVE12, actual: SERVE10
588. predicted: SERVE12, actual: SERVE10
589. predicted: SERVE12, actual: SERVE10
590. predicted: SERVE10, actual: SERVE10
591. predicted: SERVE12, actual: SERVE10
592. predicted: SERVE10, actual: SERVE10
593. predicted: SERVE10, actual: SERVE10
594. predicted: SERVE12, actual: SERVE10
595. predicted: SERVE10, actual: SERVE10
596. predicted: SERVE12, actual: SERVE10
597. predicted: SERVE12, actual: SERVE10
598. predicted: SERVE12, actual: SERVE10
599. predicted: SERVE12, actual: SERVE10
600. predicted: SERVE10, actual: SERVE10
0.4176372712146423
601. predicted: SERVE12, actual: SERVE10
602. predicted: SERVE12, actual: SERVE10
603. predicted: SERVE10, actual: SERVE10
604. predicted: SERVE12, actual: SERVE10
605. predicted: SERVE10, actual: SERVE10
606. predicted: SERVE12, actual: SERVE10
607. predicted: SERVE10, actual: SERVE10
608. predicted: SERVE12, actual: SERVE10
609. predicted: SERVE12, actual: SERVE10
610. predicted: SERVE10, actual: SERVE10
611. predicted: SERVE10, actual: SERVE10
612. predicted: SERVE12, actual: SERVE10
613. predicted: SERVE12, actual: SERVE10
614. predicted: SERVE12, actual: SERVE10
615. predicted: SERVE12, actual: SERVE10
616. predicted: SERVE12, actual: SERVE10
617. predicted: SERVE12, actual: SERVE10
618. predicted: SERVE12, actual: SERVE10
619. predicted: SERVE10, actual: SERVE10
620. predicted: SERVE10, actual: SERVE10
621. predicted: SERVE12, actual: SERVE10
622. predicted: SERVE10, actual: SERVE10
623. predicted: SERVE10, actual: SERVE10
624. predicted: SERVE10, actual: SERVE10
625. predicted: SERVE10, actual: SERVE10
626. predicted: SERVE10, actual: SERVE10
627. predicted: SERVE12, actual: SERVE10
628. predicted: SERVE10, actual: SERVE10
629. predicted: SERVE10, actual: SERVE10
630. predicted: SERVE12, actual: SERVE10
631. predicted: SERVE12, actual: SERVE10
632. predicted: SERVE12, actual: SERVE10
633. predicted: SERVE10, actual: SERVE10
634. predicted: SERVE10, actual: SERVE10
635. predicted: SERVE10, actual: SERVE10
636. predicted: SERVE12, actual: SERVE10
637. predicted: SERVE10, actual: SERVE10
638. predicted: SERVE10, actual: SERVE10
639. predicted: SERVE12, actual: SERVE10
640. predicted: SERVE12, actual: SERVE10
641. predicted: SERVE10, actual: SERVE10
642. predicted: SERVE10, actual: SERVE10
643. predicted: SERVE12, actual: SERVE10
644. predicted: SERVE10, actual: SERVE10
645. predicted: SERVE12, actual: SERVE10
646. predicted: SERVE10, actual: SERVE10
647. predicted: SERVE12, actual: SERVE10
648. predicted: SERVE10, actual: SERVE10
649. predicted: SERVE12, actual: SERVE10
650. predicted: SERVE12, actual: SERVE10
651. predicted: SERVE12, actual: SERVE10
652. predicted: SERVE10, actual: SERVE10
653. predicted: SERVE12, actual: SERVE10
654. predicted: SERVE12, actual: SERVE10
655. predicted: SERVE10, actual: SERVE10
656. predicted: SERVE12, actual: SERVE10
657. predicted: SERVE12, actual: SERVE10
658. predicted: SERVE12, actual: SERVE10
659. predicted: SERVE12, actual: SERVE10
660. predicted: SERVE12, actual: SERVE10
661. predicted: SERVE12, actual: SERVE10
