0. predicted: HARD1, actual: HARD1
144. predicted: HARD1, actual: HARD1
145. predicted: HARD1, actual: HARD1
146. predicted: HARD1, actual: HARD1
147. predicted: HARD1, actual: HARD1
148. predicted: HARD1, actual: HARD1
149. predicted: HARD1, actual: HARD1
150. predicted: HARD1, actual: HARD1
151. predicted: HARD1, actual: HARD1
152. predicted: HARD1, actual: HARD1
153. predicted: HARD1, actual: HARD1
154. predicted: HARD1, actual: HARD1
155. predicted: HARD1, actual: HARD1
156. predicted: HARD1, actual: HARD1
157. predicted: HARD1, actual: HARD1
158. predicted: HARD1, actual: HARD1
159. predicted: HARD1, actual: HARD1
160. predicted: HARD1, actual: HARD1
161. predicted: HARD1, actual: HARD1
162. predicted: HARD1, actual: HARD1
163. predicted: HARD1, actual: HARD1
164. predicted: HARD1, actual: HARD1
165. predicted: HARD1, actual: HARD1
166. predicted: HARD1, actual: HARD1
167. predicted: HARD1, actual: HARD1
168. predicted: HARD1, actual: HARD1
169. predicted: HARD1, actual: HARD1
170. predicted: HARD1, actual: HARD1
171. predicted: HARD1, actual: HARD1
172. predicted: HARD1, actual: HARD1
173. predicted: HARD1, actual: HARD1
174. predicted: HARD1, actual: HARD1
175. predicted: HARD1, actual: HARD1
176. predicted: HARD1, actual: HARD1
177. predicted: HARD1, actual: HARD1
178. predicted: HARD1, actual: HARD1
179. predicted: HARD1, actual: HARD1
180. predicted: HARD1, actual: HARD1
181. predicted: HARD1, actual: HARD1
182. predicted: HARD1, actual: HARD1
183. predicted: HARD1, actual: HARD1
184. predicted: HARD1, actual: HARD1
185. predicted: HARD1, actual: HARD1
186. predicted: HARD1, actual: HARD1
187. predicted: HARD1, actual: HARD1
188. predicted: HARD1, actual: HARD1
189. predicted: HARD1, actual: HARD1
190. predicted: HARD1, actual: HARD1
191. predicted: HARD1, actual: HARD1
192. predicted: HARD1, actual: HARD1
193. predicted: HARD1, actual: HARD1
194. predicted: HARD1, actual: HARD1
195. predicted: HARD1, actual: HARD1
196. predicted: HARD1, actual: HARD1
197. predicted: HARD1, actual: HARD1
198. predicted: HARD1, actual: HARD1
199. predicted: HARD1, actual: HARD1
200. predicted: HARD1, actual: HARD1
0.9800995024875622
201. predicted: HARD1, actual: HARD1
202. predicted: HARD1, actual: HARD1
203. predicted: HARD1, actual: HARD1
204. predicted: HARD1, actual: HARD1
205. predicted: HARD1, actual: HARD1
206. predicted: HARD1, actual: HARD1
207. predicted: HARD1, actual: HARD1
208. predicted: HARD1, actual: HARD1
209. predicted: HARD1, actual: HARD1
210. predicted: HARD1, actual: HARD1
211. predicted: HARD1, actual: HARD1
212. predicted: HARD1, actual: HARD1
213. predicted: HARD1, actual: HARD1
214. predicted: HARD1, actual: HARD1
215. predicted: HARD1, actual: HARD1
216. predicted: HARD1, actual: HARD1
217. predicted: HARD1, actual: HARD1
218. predicted: HARD1, actual: HARD1
219. predicted: HARD1, actual: HARD1
220. predicted: HARD1, actual: HARD1
221. predicted: HARD1, actual: HARD1
222. predicted: HARD1, actual: HARD1
223. predicted: HARD1, actual: HARD1
224. predicted: HARD1, actual: HARD1
225. predicted: HARD1, actual: HARD1
226. predicted: HARD1, actual: HARD1
227. predicted: HARD1, actual: HARD1
228. predicted: HARD1, actual: HARD1
229. predicted: HARD1, actual: HARD1
230. predicted: HARD1, actual: HARD1
231. predicted: HARD1, actual: HARD1
232. predicted: HARD1, actual: HARD1
233. predicted: HARD1, actual: HARD1
234. predicted: HARD1, actual: HARD1
235. predicted: HARD1, actual: HARD1
236. predicted: HARD1, actual: HARD1
237. predicted: HARD1, actual: HARD1
238. predicted: HARD1, actual: HARD1
239. predicted: HARD1, actual: HARD1
240. predicted: HARD1, actual: HARD1
241. predicted: HARD1, actual: HARD1
242. predicted: HARD1, actual: HARD1
243. predicted: HARD1, actual: HARD1
244. predicted: HARD1, actual: HARD1
245. predicted: HARD1, actual: HARD1
246. predicted: HARD1, actual: HARD1
247. predicted: HARD1, actual: HARD1
248. predicted: HARD1, actual: HARD1
249. predicted: HARD1, actual: HARD1
250. predicted: HARD1, actual: HARD1
251. predicted: HARD1, actual: HARD1
252. predicted: HARD1, actual: HARD1
253. predicted: HARD3, actual: HARD1
254. predicted: HARD1, actual: HARD1
255. predicted: HARD1, actual: HARD1
256. predicted: HARD1, actual: HARD1
257. predicted: HARD1, actual: HARD1
258. predicted: HARD1, actual: HARD1
259. predicted: HARD1, actual: HARD1
260. predicted: HARD1, actual: HARD1
261. predicted: HARD1, actual: HARD1
262. predicted: HARD1, actual: HARD1
263. predicted: HARD1, actual: HARD1
264. predicted: HARD1, actual: HARD1
265. predicted: HARD1, actual: HARD1
266. predicted: HARD1, actual: HARD1
267. predicted: HARD1, actual: HARD1
268. predicted: HARD1, actual: HARD1
269. predicted: HARD1, actual: HARD1
270. predicted: HARD1, actual: HARD1
271. predicted: HARD1, actual: HARD1
272. predicted: HARD1, actual: HARD1
273. predicted: HARD1, actual: HARD1
274. predicted: HARD1, actual: HARD1
275. predicted: HARD1, actual: HARD1
276. predicted: HARD1, actual: HARD1
277. predicted: HARD1, actual: HARD1
278. predicted: HARD1, actual: HARD1
279. predicted: HARD1, actual: HARD1
280. predicted: HARD1, actual: HARD1
281. predicted: HARD1, actual: HARD1
282. predicted: HARD1, actual: HARD1
283. predicted: HARD1, actual: HARD1
284. predicted: HARD1, actual: HARD1
285. predicted: HARD1, actual: HARD1
286. predicted: HARD1, actual: HARD1
287. predicted: HARD1, actual: HARD1
288. predicted: HARD1, actual: HARD1
289. predicted: HARD1, actual: HARD1
290. predicted: HARD1, actual: HARD1
291. predicted: HARD1, actual: HARD1
292. predicted: HARD1, actual: HARD1
293. predicted: HARD1, actual: HARD1
294. predicted: HARD1, actual: HARD1
295. predicted: HARD1, actual: HARD1
296. predicted: HARD1, actual: HARD1
297. predicted: HARD1, actual: HARD1
298. predicted: HARD1, actual: HARD1
299. predicted: HARD3, actual: HARD1
300. predicted: HARD1, actual: HARD1
0.9800664451827242
301. predicted: HARD1, actual: HARD1
302. predicted: HARD1, actual: HARD1
303. predicted: HARD1, actual: HARD1
304. predicted: HARD1, actual: HARD1
305. predicted: HARD1, actual: HARD1
306. predicted: HARD1, actual: HARD1
307. predicted: HARD1, actual: HARD1
308. predicted: HARD1, actual: HARD1
309. predicted: HARD1, actual: HARD1
310. predicted: HARD1, actual: HARD1
311. predicted: HARD1, actual: HARD1
312. predicted: HARD1, actual: HARD1
313. predicted: HARD1, actual: HARD1
314. predicted: HARD1, actual: HARD1
315. predicted: HARD1, actual: HARD1
316. predicted: HARD1, actual: HARD1
317. predicted: HARD1, actual: HARD1
318. predicted: HARD1, actual: HARD1
319. predicted: HARD1, actual: HARD1
320. predicted: HARD1, actual: HARD1
321. predicted: HARD1, actual: HARD1
322. predicted: HARD1, actual: HARD1
323. predicted: HARD1, actual: HARD1
324. predicted: HARD1, actual: HARD1
325. predicted: HARD1, actual: HARD1
326. predicted: HARD1, actual: HARD1
327. predicted: HARD1, actual: HARD1
328. predicted: HARD1, actual: HARD1
329. predicted: HARD1, actual: HARD1
330. predicted: HARD1, actual: HARD1
331. predicted: HARD1, actual: HARD1
332. predicted: HARD1, actual: HARD1
333. predicted: HARD1, actual: HARD1
334. predicted: HARD3, actual: HARD1
335. predicted: HARD1, actual: HARD1
336. predicted: HARD1, actual: HARD1
337. predicted: HARD1, actual: HARD1
338. predicted: HARD1, actual: HARD1
339. predicted: HARD1, actual: HARD1
340. predicted: HARD1, actual: HARD1
341. predicted: HARD1, actual: HARD1
342. predicted: HARD1, actual: HARD1
343. predicted: HARD1, actual: HARD1
344. predicted: HARD1, actual: HARD1
345. predicted: HARD1, actual: HARD1
346. predicted: HARD1, actual: HARD1
347. predicted: HARD3, actual: HARD1
348. predicted: HARD1, actual: HARD1
349. predicted: HARD3, actual: HARD1
350. predicted: HARD1, actual: HARD1
351. predicted: HARD1, actual: HARD1
352. predicted: HARD1, actual: HARD1
353. predicted: HARD1, actual: HARD1
354. predicted: HARD1, actual: HARD1
355. predicted: HARD1, actual: HARD1
356. predicted: HARD1, actual: HARD1
357. predicted: HARD1, actual: HARD1
358. predicted: HARD1, actual: HARD1
359. predicted: HARD1, actual: HARD1
360. predicted: HARD1, actual: HARD1
361. predicted: HARD1, actual: HARD1
362. predicted: HARD1, actual: HARD1
363. predicted: HARD1, actual: HARD1
364. predicted: HARD1, actual: HARD1
365. predicted: HARD1, actual: HARD1
366. predicted: HARD1, actual: HARD1
367. predicted: HARD1, actual: HARD1
368. predicted: HARD1, actual: HARD1
369. predicted: HARD1, actual: HARD1
370. predicted: HARD1, actual: HARD1
371. predicted: HARD1, actual: HARD1
372. predicted: HARD1, actual: HARD1
373. predicted: HARD1, actual: HARD1
374. predicted: HARD1, actual: HARD1
375. predicted: HARD1, actual: HARD1
376. predicted: HARD1, actual: HARD1
377. predicted: HARD1, actual: HARD1
378. predicted: HARD1, actual: HARD1
379. predicted: HARD1, actual: HARD1
380. predicted: HARD1, actual: HARD1
381. predicted: HARD1, actual: HARD1
382. predicted: HARD1, actual: HARD1
383. predicted: HARD1, actual: HARD1
384. predicted: HARD1, actual: HARD1
385. predicted: HARD1, actual: HARD1
386. predicted: HARD1, actual: HARD1
387. predicted: HARD1, actual: HARD1
388. predicted: HARD1, actual: HARD1
389. predicted: HARD1, actual: HARD1
390. predicted: HARD1, actual: HARD1
391. predicted: HARD1, actual: HARD1
392. predicted: HARD1, actual: HARD1
393. predicted: HARD1, actual: HARD1
394. predicted: HARD1, actual: HARD1
395. predicted: HARD1, actual: HARD1
396. predicted: HARD1, actual: HARD1
397. predicted: HARD1, actual: HARD1
398. predicted: HARD1, actual: HARD1
399. predicted: HARD1, actual: HARD1
400. predicted: HARD1, actual: HARD1
0.9775561097256857
401. predicted: HARD1, actual: HARD1
402. predicted: HARD1, actual: HARD1
403. predicted: HARD1, actual: HARD1
404. predicted: HARD1, actual: HARD1
405. predicted: HARD1, actual: HARD1
406. predicted: HARD1, actual: HARD1
407. predicted: HARD1, actual: HARD1
408. predicted: HARD1, actual: HARD1
409. predicted: HARD1, actual: HARD1
410. predicted: HARD1, actual: HARD1
411. predicted: HARD1, actual: HARD1
412. predicted: HARD1, actual: HARD1
413. predicted: HARD1, actual: HARD1
414. predicted: HARD1, actual: HARD1
415. predicted: HARD1, actual: HARD1
416. predicted: HARD1, actual: HARD1
417. predicted: HARD1, actual: HARD1
418. predicted: HARD1, actual: HARD1
419. predicted: HARD1, actual: HARD1
420. predicted: HARD1, actual: HARD1
421. predicted: HARD1, actual: HARD1
422. predicted: HARD3, actual: HARD1
423. predicted: HARD1, actual: HARD1
424. predicted: HARD1, actual: HARD1
425. predicted: HARD1, actual: HARD1
426. predicted: HARD1, actual: HARD1
427. predicted: HARD1, actual: HARD1
428. predicted: HARD1, actual: HARD1
429. predicted: HARD1, actual: HARD1
430. predicted: HARD1, actual: HARD1
431. predicted: HARD1, actual: HARD1
432. predicted: HARD1, actual: HARD1
433. predicted: HARD1, actual: HARD1
434. predicted: HARD1, actual: HARD1
435. predicted: HARD1, actual: HARD1
436. predicted: HARD1, actual: HARD1
437. predicted: HARD1, actual: HARD1
438. predicted: HARD3, actual: HARD1
439. predicted: HARD1, actual: HARD1
440. predicted: HARD1, actual: HARD1
441. predicted: HARD1, actual: HARD1
442. predicted: HARD1, actual: HARD1
443. predicted: HARD1, actual: HARD1
444. predicted: HARD1, actual: HARD1
445. predicted: HARD1, actual: HARD1
446. predicted: HARD1, actual: HARD1
447. predicted: HARD1, actual: HARD1
448. predicted: HARD1, actual: HARD1
449. predicted: HARD1, actual: HARD1
450. predicted: HARD3, actual: HARD1
451. predicted: HARD1, actual: HARD1
452. predicted: HARD1, actual: HARD1
453. predicted: HARD1, actual: HARD1
454. predicted: HARD1, actual: HARD1
455. predicted: HARD1, actual: HARD1
456. predicted: HARD1, actual: HARD1
457. predicted: HARD1, actual: HARD1
458. predicted: HARD1, actual: HARD1
459. predicted: HARD1, actual: HARD1
460. predicted: HARD1, actual: HARD1
461. predicted: HARD1, actual: HARD1
462. predicted: HARD1, actual: HARD1
463. predicted: HARD1, actual: HARD1
464. predicted: HARD1, actual: HARD1
465. predicted: HARD1, actual: HARD1
466. predicted: HARD1, actual: HARD1
467. predicted: HARD1, actual: HARD1
468. predicted: HARD1, actual: HARD1
469. predicted: HARD1, actual: HARD1
470. predicted: HARD1, actual: HARD1
471. predicted: HARD1, actual: HARD1
472. predicted: HARD1, actual: HARD1
473. predicted: HARD1, actual: HARD1
474. predicted: HARD1, actual: HARD1
475. predicted: HARD1, actual: HARD1
476. predicted: HARD1, actual: HARD1
477. predicted: HARD1, actual: HARD1
478. predicted: HARD1, actual: HARD1
479. predicted: HARD1, actual: HARD1
480. predicted: HARD1, actual: HARD1
481. predicted: HARD1, actual: HARD1
482. predicted: HARD1, actual: HARD1
483. predicted: HARD1, actual: HARD1
484. predicted: HARD1, actual: HARD1
485. predicted: HARD1, actual: HARD1
486. predicted: HARD1, actual: HARD1
487. predicted: HARD1, actual: HARD1
488. predicted: HARD1, actual: HARD1
489. predicted: HARD1, actual: HARD1
490. predicted: HARD1, actual: HARD1
491. predicted: HARD1, actual: HARD1
492. predicted: HARD1, actual: HARD1
493. predicted: HARD1, actual: HARD1
494. predicted: HARD1, actual: HARD1
495. predicted: HARD1, actual: HARD1
496. predicted: HARD1, actual: HARD1
497. predicted: HARD1, actual: HARD1
498. predicted: HARD1, actual: HARD1
499. predicted: HARD1, actual: HARD1
500. predicted: HARD1, actual: HARD1
0.9760479041916168
501. predicted: HARD1, actual: HARD1
502. predicted: HARD1, actual: HARD1
503. predicted: HARD1, actual: HARD1
504. predicted: HARD1, actual: HARD1
505. predicted: HARD1, actual: HARD1
506. predicted: HARD1, actual: HARD1
507. predicted: HARD1, actual: HARD1
508. predicted: HARD1, actual: HARD1
509. predicted: HARD1, actual: HARD1
510. predicted: HARD1, actual: HARD1
511. predicted: HARD1, actual: HARD1
512. predicted: HARD1, actual: HARD1
513. predicted: HARD1, actual: HARD1
514. predicted: HARD1, actual: HARD1
515. predicted: HARD1, actual: HARD1
516. predicted: HARD1, actual: HARD1
517. predicted: HARD1, actual: HARD1
518. predicted: HARD1, actual: HARD1
519. predicted: HARD1, actual: HARD1
520. predicted: HARD1, actual: HARD1
521. predicted: HARD1, actual: HARD1
522. predicted: HARD1, actual: HARD1
523. predicted: HARD1, actual: HARD1
524. predicted: HARD1, actual: HARD1
525. predicted: HARD1, actual: HARD1
526. predicted: HARD1, actual: HARD1
527. predicted: HARD1, actual: HARD1
528. predicted: HARD1, actual: HARD1
529. predicted: HARD1, actual: HARD1
530. predicted: HARD1, actual: HARD1
531. predicted: HARD1, actual: HARD1
532. predicted: HARD1, actual: HARD1
533. predicted: HARD1, actual: HARD1
534. predicted: HARD1, actual: HARD1
535. predicted: HARD1, actual: HARD1
536. predicted: HARD1, actual: HARD1
537. predicted: HARD1, actual: HARD1
538. predicted: HARD1, actual: HARD1
539. predicted: HARD1, actual: HARD1
540. predicted: HARD1, actual: HARD1
541. predicted: HARD1, actual: HARD1
542. predicted: HARD1, actual: HARD1
543. predicted: HARD1, actual: HARD1
544. predicted: HARD1, actual: HARD1
545. predicted: HARD1, actual: HARD1
546. predicted: HARD1, actual: HARD1
547. predicted: HARD1, actual: HARD1
548. predicted: HARD1, actual: HARD1
549. predicted: HARD1, actual: HARD1
550. predicted: HARD1, actual: HARD1
551. predicted: HARD1, actual: HARD1
552. predicted: HARD1, actual: HARD1
553. predicted: HARD1, actual: HARD1
554. predicted: HARD1, actual: HARD1
555. predicted: HARD1, actual: HARD1
556. predicted: HARD1, actual: HARD1
557. predicted: HARD1, actual: HARD1
558. predicted: HARD1, actual: HARD1
559. predicted: HARD1, actual: HARD1
560. predicted: HARD1, actual: HARD1
561. predicted: HARD1, actual: HARD1
562. predicted: HARD1, actual: HARD1
563. predicted: HARD1, actual: HARD1
564. predicted: HARD1, actual: HARD1
565. predicted: HARD1, actual: HARD1
566. predicted: HARD3, actual: HARD1
567. predicted: HARD1, actual: HARD1
568. predicted: HARD1, actual: HARD1
569. predicted: HARD1, actual: HARD1
570. predicted: HARD3, actual: HARD1
571. predicted: HARD1, actual: HARD1
572. predicted: HARD1, actual: HARD1
573. predicted: HARD1, actual: HARD1
574. predicted: HARD1, actual: HARD1
575. predicted: HARD1, actual: HARD1
576. predicted: HARD1, actual: HARD1
577. predicted: HARD1, actual: HARD1
578. predicted: HARD1, actual: HARD1
579. predicted: HARD1, actual: HARD1
580. predicted: HARD1, actual: HARD1
581. predicted: HARD1, actual: HARD1
582. predicted: HARD1, actual: HARD1
583. predicted: HARD1, actual: HARD1
584. predicted: HARD1, actual: HARD1
585. predicted: HARD1, actual: HARD1
586. predicted: HARD1, actual: HARD1
587. predicted: HARD1, actual: HARD1
588. predicted: HARD1, actual: HARD1
589. predicted: HARD1, actual: HARD1
590. predicted: HARD1, actual: HARD1
591. predicted: HARD1, actual: HARD1
592. predicted: HARD1, actual: HARD1
593. predicted: HARD1, actual: HARD1
594. predicted: HARD1, actual: HARD1
595. predicted: HARD1, actual: HARD1
596. predicted: HARD1, actual: HARD1
597. predicted: HARD1, actual: HARD1
598. predicted: HARD1, actual: HARD1
599. predicted: HARD1, actual: HARD1
600. predicted: HARD1, actual: HARD1
0.9767054908485857
601. predicted: HARD1, actual: HARD1
602. predicted: HARD1, actual: HARD1
603. predicted: HARD1, actual: HARD1
604. predicted: HARD1, actual: HARD1
605. predicted: HARD1, actual: HARD1
606. predicted: HARD1, actual: HARD1
607. predicted: HARD1, actual: HARD1
608. predicted: HARD1, actual: HARD1
609. predicted: HARD1, actual: HARD1
610. predicted: HARD1, actual: HARD1
611. predicted: HARD1, actual: HARD1
612. predicted: HARD1, actual: HARD1
613. predicted: HARD1, actual: HARD1
614. predicted: HARD1, actual: HARD1
615. predicted: HARD1, actual: HARD1
616. predicted: HARD1, actual: HARD1
617. predicted: HARD1, actual: HARD1
618. predicted: HARD1, actual: HARD1
619. predicted: HARD1, actual: HARD1
620. predicted: HARD1, actual: HARD1
621. predicted: HARD1, actual: HARD1
622. predicted: HARD1, actual: HARD1
623. predicted: HARD1, actual: HARD1
624. predicted: HARD1, actual: HARD1
625. predicted: HARD1, actual: HARD1
626. predicted: HARD1, actual: HARD1
627. predicted: HARD1, actual: HARD1
628. predicted: HARD1, actual: HARD1
629. predicted: HARD1, actual: HARD1
630. predicted: HARD1, actual: HARD1
631. predicted: HARD1, actual: HARD1
632. predicted: HARD1, actual: HARD1
633. predicted: HARD1, actual: HARD1
634. predicted: HARD1, actual: HARD1
635. predicted: HARD1, actual: HARD1
636. predicted: HARD1, actual: HARD1
637. predicted: HARD1, actual: HARD1
638. predicted: HARD1, actual: HARD1
639. predicted: HARD1, actual: HARD1
640. predicted: HARD1, actual: HARD1
641. predicted: HARD1, actual: HARD1
642. predicted: HARD1, actual: HARD1
643. predicted: HARD1, actual: HARD1
644. predicted: HARD1, actual: HARD1
645. predicted: HARD1, actual: HARD1
646. predicted: HARD1, actual: HARD1
647. predicted: HARD1, actual: HARD1
648. predicted: HARD1, actual: HARD1
649. predicted: HARD1, actual: HARD1
650. predicted: HARD1, actual: HARD1
651. predicted: HARD1, actual: HARD1
652. predicted: HARD1, actual: HARD1
653. predicted: HARD1, actual: HARD1
654. predicted: HARD1, actual: HARD1
655. predicted: HARD1, actual: HARD1
656. predicted: HARD1, actual: HARD1
657. predicted: HARD1, actual: HARD1
658. predicted: HARD1, actual: HARD1
659. predicted: HARD1, actual: HARD1
660. predicted: HARD1, actual: HARD1
661. predicted: HARD1, actual: HARD1
662. predicted: HARD1, actual: HARD1
663. predicted: HARD1, actual: HARD1
664. predicted: HARD1, actual: HARD1
665. predicted: HARD1, actual: HARD1
666. predicted: HARD1, actual: HARD1
667. predicted: HARD1, actual: HARD1
668. predicted: HARD1, actual: HARD1
669. predicted: HARD1, actual: HARD1
670. predicted: HARD1, actual: HARD1
671. predicted: HARD1, actual: HARD1
672. predicted: HARD1, actual: HARD1
673. predicted: HARD3, actual: HARD1
674. predicted: HARD1, actual: HARD1
675. predicted: HARD1, actual: HARD1
676. predicted: HARD1, actual: HARD1
677. predicted: HARD1, actual: HARD1
678. predicted: HARD1, actual: HARD1
679. predicted: HARD1, actual: HARD1
680. predicted: HARD1, actual: HARD1
681. predicted: HARD1, actual: HARD1
682. predicted: HARD1, actual: HARD1
683. predicted: HARD1, actual: HARD1
684. predicted: HARD1, actual: HARD1
685. predicted: HARD1, actual: HARD1
686. predicted: HARD1, actual: HARD1
687. predicted: HARD1, actual: HARD1
688. predicted: HARD1, actual: HARD1
689. predicted: HARD1, actual: HARD1
690. predicted: HARD1, actual: HARD1
691. predicted: HARD1, actual: HARD1
692. predicted: HARD1, actual: HARD1
693. predicted: HARD1, actual: HARD1
694. predicted: HARD1, actual: HARD1
695. predicted: HARD1, actual: HARD1
696. predicted: HARD1, actual: HARD1
697. predicted: HARD1, actual: HARD1
698. predicted: HARD1, actual: HARD1
699. predicted: HARD1, actual: HARD1
700. predicted: HARD1, actual: HARD1
0.978601997146933
701. predicted: HARD1, actual: HARD1
702. predicted: HARD1, actual: HARD1
703. predicted: HARD1, actual: HARD1
704. predicted: HARD1, actual: HARD1
705. predicted: HARD1, actual: HARD1
706. predicted: HARD1, actual: HARD1
707. predicted: HARD1, actual: HARD1
708. predicted: HARD1, actual: HARD1
709. predicted: HARD1, actual: HARD1
710. predicted: HARD1, actual: HARD1
711. predicted: HARD1, actual: HARD1
712. predicted: HARD1, actual: HARD1
713. predicted: HARD1, actual: HARD1
714. predicted: HARD1, actual: HARD1
715. predicted: HARD1, actual: HARD1
716. predicted: HARD1, actual: HARD1
717. predicted: HARD1, actual: HARD1
718. predicted: HARD1, actual: HARD1
719. predicted: HARD1, actual: HARD1
720. predicted: HARD1, actual: HARD1
721. predicted: HARD1, actual: HARD1
722. predicted: HARD1, actual: HARD1
723. predicted: HARD1, actual: HARD1
724. predicted: HARD1, actual: HARD1
725. predicted: HARD1, actual: HARD1
726. predicted: HARD1, actual: HARD1
727. predicted: HARD1, actual: HARD1
728. predicted: HARD1, actual: HARD1
729. predicted: HARD1, actual: HARD1
730. predicted: HARD1, actual: HARD1
731. predicted: HARD1, actual: HARD1
